"種別","名称","住所","x座標","y座標"
"指定緊急避難場所（緊急時の避難場所）","飾磨工業高校","飾磨区細江319","134.6692631","34.80166962"
"指定緊急避難場所（緊急時の避難場所）","飾磨高校","飾磨区妻鹿672","134.6993923","34.79378385"
"指定緊急避難場所（緊急時の避難場所）","飾磨市民センター","飾磨区玉地一丁目27","134.6773753","34.79979893"
"指定緊急避難場所（緊急時の避難場所）","飾磨小学校","飾磨区恵美酒22","134.6724868","34.79894695"
"指定緊急避難場所（緊急時の避難場所）","飾磨中央公園","飾磨区細江520-94外","134.6671684","34.79708605"
"指定緊急避難場所（緊急時の避難場所）","飾磨中部中学校","飾磨区細江206","134.6704829","34.80330648"
"指定緊急避難場所（緊急時の避難場所）","飾磨西中学校","飾磨区構二丁目93","134.6614148","34.80943472"
"指定緊急避難場所（緊急時の避難場所）","飾磨東中学校","飾磨区三和町26","134.6833957","34.79930407"
"指定緊急避難場所（緊急時の避難場所）","飾西公園","町田19－1","134.6365228","34.86487802"
"指定緊急避難場所（緊急時の避難場所）","四郷公民館","四郷町坂元258-1","134.7228144","34.81094816"
"指定緊急避難場所（緊急時の避難場所）","四郷小学校","四郷町坂元227","134.7232923","34.81031523"
"指定緊急避難場所（緊急時の避難場所）","四郷中学校","四郷町坂元345-2","134.7206886","34.81214501"
"指定緊急避難場所（緊急時の避難場所）","市民会館","総社本町112","134.6955674","34.83282856"
"指定緊急避難場所（緊急時の避難場所）","生涯学習大学校","田寺東二丁目11-1","134.674974","34.85602258"
"指定緊急避難場所（緊急時の避難場所）","城乾市民センター","南八代町6-1","134.6869033","34.84270933"
"指定緊急避難場所（緊急時の避難場所）","城乾小学校","南八代町6-60","134.6867863","34.84348524"
"指定緊急避難場所（緊急時の避難場所）","城乾中学校","南八代町6-1","134.6860274","34.84252234"
"指定緊急避難場所（緊急時の避難場所）","城西小学校","新在家二丁目4-1","134.6815987","34.844843"
"指定緊急避難場所（緊急時の避難場所）","城東公民館","城東町竹之門15","134.7052226","34.83709037"
"指定緊急避難場所（緊急時の避難場所）","城東小学校","城東町竹之門1","134.7049398","34.83660623"
"指定緊急避難場所（緊急時の避難場所）","城東幼稚園","城東町野田1-2","134.7086034","34.8344585"
"指定緊急避難場所（緊急時の避難場所）","城南公民館","西二階町68-1","134.6882328","34.83274839"
"指定緊急避難場所（緊急時の避難場所）","城北公園","広峰一丁目、二丁目","134.7042083","34.85407923"
"指定緊急避難場所（緊急時の避難場所）","城北公民館","伊伝居490-2","134.6982226","34.85071796"
"指定緊急避難場所（緊急時の避難場所）","城北小学校","伊伝居600-2","134.6973431","34.84969167"
"指定緊急避難場所（緊急時の避難場所）","城陽公民館","北条1053-1","134.6979598","34.8209149"
"指定緊急避難場所（緊急時の避難場所）","城陽小学校","北条923-1","134.6976268","34.82216875"
"指定緊急避難場所（緊急時の避難場所）","書写中学校","書写台二丁目34","134.6467867","34.86875471"
"指定緊急避難場所（緊急時の避難場所）","白浜グラウンド","白浜町丙577","134.7097258","34.77979169"
"指定緊急避難場所（緊急時の避難場所）","白浜公民館","白浜町甲 350の7","134.7071924","34.78560562"
"指定緊急避難場所（緊急時の避難場所）","白浜小学校","白浜町甲458","134.704899","34.78630262"
"指定緊急避難場所（緊急時の避難場所）","白浜西山公園","白浜町1355","134.6969549","34.78839113"
"指定緊急避難場所（緊急時の避難場所）","白浜幼稚園","白浜町甲842-2","134.7036522","34.7836749"
"指定緊急避難場所（緊急時の避難場所）","城の西公民館","岡町33","134.6848486","34.84026359"
"指定緊急避難場所（緊急時の避難場所）","城山中学校","飾東町豊国1163-5","134.7465973","34.8478571"
"指定緊急避難場所（緊急時の避難場所）","神南中学校","船津町3937","134.7578789","34.90868543"
"指定緊急避難場所（緊急時の避難場所）","船場川東公園","亀山一丁目225","134.6713017","34.808245"
"指定緊急避難場所（緊急時の避難場所）","船場公民館","東雲町一丁目29","134.6817938","34.83239516"
"指定緊急避難場所（緊急時の避難場所）","船場小学校","東雲町一丁目29","134.682432","34.83261645"
"指定緊急避難場所（緊急時の避難場所）","総合スポーツ会館","中地453","134.6671197","34.82012872"
"指定緊急避難場所（緊急時の避難場所）","曽左公民館","書写2961-1","134.6485594","34.87492608"
"指定緊急避難場所（緊急時の避難場所）","曽左小学校","書写634-51","134.6615401","34.86853595"
"指定緊急避難場所（緊急時の避難場所）","大日河原緑地","野里952-7地先（市川右岸）","134.7095898","34.84627627"
"指定緊急避難場所（緊急時の避難場所）","大白書中学校","飾西652","134.645534","34.85867982"
"指定緊急避難場所（緊急時の避難場所）","高岡市民センター","東今宿五丁目3-20","134.6638945","34.84190004"
"指定緊急避難場所（緊急時の避難場所）","高岡市民広場","東今宿五丁目3","134.6640025","34.84153009"
"指定緊急避難場所（緊急時の避難場所）","高岡小学校","西今宿四丁目8-1","134.6637684","34.84601954"
"指定緊急避難場所（緊急時の避難場所）","高岡第一公園","西今宿三丁目633-11外","134.6619638","34.84044418"
"指定緊急避難場所（緊急時の避難場所）","高丘中学校","山吹一丁目4-13","134.6643542","34.85031803"
"指定緊急避難場所（緊急時の避難場所）","高岡西公民館","上手野41-4","134.6562766","34.84917704"
"指定緊急避難場所（緊急時の避難場所）","高岡西小学校","上手野1-1","134.6557841","34.84813216"
"指定緊急避難場所（緊急時の避難場所）","高浜公民館","飾磨区阿成鹿古312","134.6870773","34.80155587"
"指定緊急避難場所（緊急時の避難場所）","高浜小学校","飾磨区阿成鹿古250","134.6864804","34.80006103"
"指定緊急避難場所（緊急時の避難場所）","田寺テニスコート","田寺東二丁目12-1","134.6761529","34.85539667"
"指定緊急避難場所（緊急時の避難場所）","谷内公民館","飾東町八重畑1032-2","134.7750359","34.85742936"
"指定緊急避難場所（緊急時の避難場所）","谷内市民広場","飾東町八重畑1032-2","134.774919","34.85739386"
"指定緊急避難場所（緊急時の避難場所）","谷内小学校","飾東町八重畑130-1","134.7773288","34.85664552"
"指定緊急避難場所（緊急時の避難場所）","谷外公民館","飾東町豊国63-1","134.7413399","34.84161888"
"指定緊急避難場所（緊急時の避難場所）","谷外小学校","飾東町豊国560","134.7420638","34.84438354"
"指定緊急避難場所（緊急時の避難場所）","秩父山公園","下手野二丁目426-4外","134.6542913","34.84691929"
"指定緊急避難場所（緊急時の避難場所）","中央市民センター","本町68-68","134.6986073","34.84116865"
"指定緊急避難場所（緊急時の避難場所）","中央体育館","西延末90","134.6721191","34.8211877"
"指定緊急避難場所（緊急時の避難場所）","付城公園","飾磨区付城二丁目180","134.6508736","34.81190819"
"指定緊急避難場所（緊急時の避難場所）","津田公園","飾磨区構二丁目179外","134.659412","34.80875476"
"指定緊急避難場所（緊急時の避難場所）","津田公民館","飾磨区加茂373-1","134.6589232","34.80405024"
"指定緊急避難場所（緊急時の避難場所）","津田小学校","飾磨区今在家三丁目233","134.6583973","34.80361927"
"指定緊急避難場所（緊急時の避難場所）","手柄公民館","延末149-1","134.6789132","34.82140741"
"指定緊急避難場所（緊急時の避難場所）","手柄小学校","延末148-2","134.6781666","34.82166668"
"指定緊急避難場所（緊急時の避難場所）","手柄山中央公園","西延末440 外、手柄、飯田、延末、中地外","134.6753358","34.82190863"
"指定緊急避難場所（緊急時の避難場所）","東光中学校","国府寺町80","134.7027111","34.83461143"
"指定緊急避難場所（緊急時の避難場所）","砥堀公民館","砥堀1152-1","134.7299152","34.87150431"
"指定緊急避難場所（緊急時の避難場所）","砥堀小学校","砥堀1240-3","134.730776","34.87544087"
"指定緊急避難場所（緊急時の避難場所）","豊富公民館","豊富町御蔭1118","134.7466834","34.88246404"
"指定緊急避難場所（緊急時の避難場所）","豊富小学校","豊富町御蔭925","134.7484442","34.88249403"
"指定緊急避難場所（緊急時の避難場所）","豊富球場","豊富町豊富3910-1","134.7539325","34.89183183"
"指定緊急避難場所（緊急時の避難場所）","豊富中学校","豊富町御蔭944","134.7483982","34.8818721"
"指定緊急避難場所（緊急時の避難場所）","中島野球場","飾磨区中島2558","134.6805045","34.7897644"
"指定緊急避難場所（緊急時の避難場所）","名古山霊苑","名古山町","134.6755534","34.84227051"
"指定緊急避難場所（緊急時の避難場所）","灘市民センター","白浜町丙434","134.7131643","34.78250913"
"指定緊急避難場所（緊急時の避難場所）","灘中学校","白浜町神田一丁目33","134.7062467","34.7919691"
"指定緊急避難場所（緊急時の避難場所）","灘浜グラウンド","白浜町字灘浜","134.6994894","34.76883409"
"指定緊急避難場所（緊急時の避難場所）","灘浜緑地","白浜町8外","134.6999858","34.77004645"
"指定緊急避難場所（緊急時の避難場所）","灘南緑道","白浜町宇佐崎中三丁目120外","134.7132703","34.78182421"
"指定緊急避難場所（緊急時の避難場所）","西市民センター","飾西728-5","134.6440451","34.86118052"
"指定緊急避難場所（緊急時の避難場所）","西夢前台第二緑地","西夢前台六～八丁目地先(夢前川右岸)","134.6340836","34.81368881"
"指定緊急避難場所（緊急時の避難場所）","野里公民館","野里慶雲寺前町9-10","134.701057","34.84485995"
"指定緊急避難場所（緊急時の避難場所）","野里小学校","坊主町3-1","134.6979273","34.8432804"
"指定緊急避難場所（緊急時の避難場所）","旧野里幼稚園","野里堀留町9-1","134.7033547","34.84403037"
"指定緊急避難場所（緊急時の避難場所）","白鳥公民館","飾西85-1","134.637755","34.86310864"
"指定緊急避難場所（緊急時の避難場所）","白鳥小学校","飾西341","134.6426642","34.86342025"
"指定緊急避難場所（緊急時の避難場所）","白鷺小中学校","本町68-52","134.690293","34.835217"
"指定緊急避難場所（緊急時の避難場所）","花田公民館","花田町小川1074-3","134.7208491","34.83951085"
"指定緊急避難場所（緊急時の避難場所）","花田小学校","花田町勅旨264-2","134.7247207","34.8349576"
"指定緊急避難場所（緊急時の避難場所）","花田中学校","花田町小川1246-1","134.7229215","34.8475481"
"指定緊急避難場所（緊急時の避難場所）","花の北市民広場","増位新町二丁目12","134.7105965","34.85677298"
"指定緊急避難場所（緊急時の避難場所）","浜手緑地広畑西地区","広畑区大町","134.6266263","34.79505965"
"指定緊急避難場所（緊急時の避難場所）","浜手緑地広畑鶴町地区","広畑区鶴町一丁目、二丁目","134.6312782","34.79409234"
"指定緊急避難場所（緊急時の避難場所）","浜手緑地広畑東地区","広畑区夢前町二丁目、四丁目","134.6387309","34.7942229"
"指定緊急避難場所（緊急時の避難場所）","浜手緑地構地区","飾磨区構","134.6590042","34.79564338"
"指定緊急避難場所（緊急時の避難場所）","浜手緑地妻鹿地区","飾磨区妻鹿","134.6893347","34.78417689"
"指定緊急避難場所（緊急時の避難場所）","浜手緑地細江地区","飾磨区細江","134.6617521","34.79461062"
